COLUMN01,COLUMN02,COLUMN03,COLUMN04,COLUMN05,COLUMN06,COLUMN07,COLUMN08,COLUMN09,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41,COLUMN42,COLUMN43,COLUMN44,COLUMN45,COLUMN46,COLUMN47,COLUMN48,COLUMN49,COLUMN50,COLUMN51,COLUMN52,COLUMN53,COLUMN54,COLUMN55
7564,000009.SZ,93042000,139600,139700,138600,138700,138800,138900,139000,139100,139200,139300,139400,139500,139600,139700,100,11500,1900,16400,18200,3300,8800,6500,4200,10060,138700,138600,138500,138400,138300,138200,138100,138000,137900,137800,5400,21300,19300,3200,10800,7100,21600,34600,4000,14900,831500,11585219,1266900,5659260,153600,125600,135000,147800
8044,000009.SZ,93045000,139600,139700,138600,138700,138800,139000,139100,139200,139300,139400,139500,139600,139700,139800,8200,1900,16400,10600,3300,8700,6900,4200,10060,41600,138700,138600,138500,138400,138300,138200,138100,138000,137900,137800,1100,19100,19300,3200,10800,7100,24600,37200,4000,14900,850800,11852881,1266200,5652260,153600,125600,135000,147800
8539,000009.SZ,93048000,139600,139700,138600,138700,138700,138800,139000,139100,139200,139300,139400,139500,139600,139700,7100,18600,1900,6600,10600,3300,8700,6600,4200,13160,138600,138500,138400,138300,138200,138100,138000,137900,137800,137700,16000,20300,3200,10800,8100,24600,37600,4000,15600,5100,874400,12180200,1268100,5667760,153600,125600,135000,147800
9035,000009.SZ,93051000,139600,139700,138600,138600,138700,138800,139000,139100,139200,139300,139400,139500,139600,139700,15300,18600,2400,8900,10600,3300,8700,2900,4200,13160,138600,138500,138400,138300,138200,138100,138000,137900,137800,137700,13700,21300,3200,10800,8100,24600,37600,4000,15600,5100,884300,12317461,1288300,5678560,153600,125600,135100,147700
9545,000009.SZ,93054000,139600,139700,138500,138700,138700,138800,138900,139000,139100,139200,139300,139400,139500,139600,15500,18600,1000,2300,8900,9200,3300,8700,2900,4200,138500,138400,138300,138200,138100,138000,137900,137800,137700,137600,21000,3200,15800,8100,24600,35900,4000,15600,5100,23200,905200,12607193,1284000,5688860,153600,125600,135000,147700
10091,000009.SZ,93057000,139600,139700,138400,138400,138400,138600,138700,138800,138900,139000,139100,139200,139300,139400,14500,4600,11100,18600,1000,2300,22000,9300,3300,8700,138300,138200,138100,138000,137900,137800,137700,137600,137500,137400,15800,8100,24600,38500,4000,15600,5100,23200,15100,2200,939100,13076823,1269800,5716760,153600,125600,135000,147700
10592,000009.SZ,93100000,139600,139700,138300,138600,138600,138700,138800,138900,139000,139100,139200,139300,139400,139500,9000,11300,11400,1000,1800,22300,9300,3300,8700,2900,138400,138300,138200,138100,138000,137900,137800,137700,137600,137500,1900,16000,8100,24600,38500,4000,15600,5100,23200,15100,974900,13572532,1282000,5702660,153600,125600,135000,147700
11088,000009.SZ,93103000,139600,139700,138200,138200,138500,138600,138700,138800,138900,139000,139100,139200,139300,139400,1000,1500,12200,11400,6000,1800,22200,5200,3300,8700,138400,138200,138100,138000,137900,137800,137700,137600,137500,137400,1000,2800,24200,38500,4000,15600,5100,23200,15600,2200,1015800,14138527,1265300,5705060,153600,125600,134900,147700
11581,000009.SZ,93106000,139600,139700,138000,138400,138400,138500,138600,138700,138800,138900,139000,139100,139200,139300,4000,200,3900,32200,11400,6000,6800,20800,1900,3300,138100,138000,137900,137800,137700,137600,137500,137400,137300,137200,2200,21700,5300,15600,5100,23200,16300,2200,21000,4400,1066500,14838672,1246700,5733160,153600,125600,134800,147700
12079,000009.SZ,93109000,139600,139700,138000,138400,138400,138500,138600,138700,138800,138900,139000,139100,139200,139300,100,100,3900,31800,11400,6000,6800,20800,1900,3300,138200,138100,138000,137900,137800,137700,137600,137500,137400,137300,500,3000,19700,5300,15600,5100,23200,16300,2200,21000,1073400,14934154,1249000,5741560,153600,125600,134800,147700
